Name,Followers
ashishchanchlani,14.6M
iammichelemorroneofficial,14.9M
_zyozyo,5.5M
anguscloud,8.2M
shaymitchell,33.8M
kiaraaliaadvani,24.3M
krisjenner,48.9M
perrieedwards,15.5M
yaocabrera,14.7M
tenlee_1001,9.8M
min9yu_k,6.9M
alexandradaddario,22.6M
alidaei,9M
gatenm123,17M
yaocabrera,14.3M
_rl9,26.8M
bighit_ent,13M
kimjuncotton,10.3M
whinderssonnunes,58.6M
jy_piece,4.8M
imsebastianstan,9.4M
therealcalebmclaughlin,14.2M
nct,14.4M
yuu_taa_1026,8.4M
m_kayoung,8.3M
yellow_3to3,5.9M
_mariahwasa,8.2M
rudeth,6.5M
mont.pantoja,12M
mariaalice,7.3M
enhypen,10.5M
realbarbarapalvin,17.9M
marktuan,12.8M
maudyayunda,16.9M
bretmanrock,18.4M
elrodrigocontreras,12.9M
nct127,14.1M
wwiinn_7,7.3M
lizasoberano,17.3M
bellapoarch,14.1M
bhuvan.bam22,14.8M
txt_bighit,12.5M
dahhyunnee,5.3M
jamescharles,22.9M
taehyung.bighitentertainment,10M
postmalone,22.4M
ssinz7,13.7M
o.dembele7,10.9M
ranveersingh,40.1M
jinyoung_0922jy,9.9M
luisasonza,29.5M
bellathorne,25.4M
ksi,11.6M
kevindebruyne,18M
marvel,65.4M
arigameplays,11M
fedez,14.2M
prattprattpratt,37.4M
itzy.all.in.us,17.2M
lestykejora,25.7M
jbalvin,52.8M
kehlani,14M
manchesterunited,59M
peytonlist,20.2M
wi__wi__wi,10.1M
dixiedamelio,25M
vinniehacker,5.8M
madhuridixitnene,32M
mathildtantot,10.2M
keerthysureshofficial,13.4M
ibaillanos,7.8M
easymoneysniper,13.1M
michelleobama,50.3M
ross_lynch,10.2M
attahalilintar,23.9M
lizgillz,14.1M
cbum,9M
hassan_reyvandi,19.5M
nicki.nicole,12.2M
demirose,19.9M
natashawilona12,38.9M
lexibrookerivera,8.5M
thebursin,10.7M
imouniroy,23.9M
yasmine_sabri,19.4M
kevinhart4real,148.8M
sidmalhotra,19.9M
sommerray,26.5M
brunamarquezine,43.1M
miguel.g.herran,14.1M
louispartridge_,7.6M
pubity,31.8M
taina,16M
alok,27.7M
camilo,27.5M
alwaysramcharan,8.1M
lilyjcollins,27M
lilnasx,12.5M
sportscenter,31.3M
phil.coutinho,25M
thenotoriousmma,45.8M
ms_puiyi,18.7M
mo.on_air,4.9M
nickjonas,32.9M
hyunah_aa,18.1M
todayis_wendy,6.9M
weareone.exo,10M
lildurk,13.9M
hunterschafer,7.3M
sadiomaneofficiel,11.6M
9gag,58.2M
for_everyoung10,5.1M
caradelevingne,43M
euphoria,7.9M
saweetie,13.2M
daquan,16.8M
i_m_hendery,6.2M
darshanravaldz,15.3M
jadepicon,20.7M
barbieferreira,6.3M
i_m_hendery,6.2M
darshanravaldz,15.3M
kyo1122,13.3M
barbieferreira,6.3M
rakulpreet,22.1M
leaelui,11.6M
simoneses,34.8M
marvelstudios,37.4M
angeldimariajm,17.9M
juliette,33.7M
mingue.k,5.8M
obj,16.2M
goar_avetisyan,11.6M
yerimiese,10.7M
demetozdemir,15.3M
burakozcivit,21.6M
gururandhawa,32.8M
dntlrdl,6.5M
yangyang_x2,6.4M
rachel_mypark,10.2M
parishilton,19.6M
jhope_bighitentertainment,7.9M
evcenf,13.2M
iynemliarasbulut,10.3M
yejinhand,6.9M
jin_bighitentertainment,8.2M
thibautcourtois,10.7M
kun11xd,6.7M
sonamkapoor,33.1M
_shotaroo_,5.4M
raphaelvarane,19.1M
pugachevmark,14.1M
shehnaazgill,11.6M
thenewclassic,16.4M
vanessahudgens,46.4M
mariabecerra,9.8M
jennaortega,8.2M
aron.piper,13.9M
_seorina,6M
teddysphotos,39.5M
larissamanoela,46.1M
paulwesley,12.3M
djxiao_888,6.9M
parineetichopra,37M
romeosantos,19.2M
duki,10.1M
conangray,6.4M
jessnolimit,7.3M
k.kbeom,5.3M
chiaraferragni,27.5M
nadin_serovski,9.4M
adamweitsman,17.5M
anupamaparameswaran96,12.2M
superstar_dewasi99,12.6M
offsetyrn,19.9M
angeldimariajm,17.7M
juanpazurita,29.8M
antogriezmann,36.4M
jungkook_bighitentertainment,9.5M
ana_d_armas,7.1M
dkharbour,8.5M
ldh_sky,5.6M
aboflah,7.4M
polo.capalot,10.5M
zefelipecantor,24.6M
yuyacst,17.2M
fuji_an,11.8M
anahi,9.8M
kingbach,22.7M
yoona__lim,13.5M
gianlucavacchi,22.4M
xavi,9M
anjimaxuofficially,11.5M
khabib_nurmagomedov,33.5M
jimmyfallon,22.4M
gusttavolima,43.8M
julesleblanc,9.7M
ananyapanday,23M
nickyjam,43.4M
travisbarker,7.6M
nikefootball,45.2M
juansguarnizo,5.9M
thehughjackman,30.5M
c.syresmith,19.1M
itsmarziapie,8.3M
jailyneojeda,14.2M
yooncy1,4.9M
gioewbank,28.4M
indiancricketteam,24.6M
yugyeom,11.4M
deiveleonardo,11.7M
urvashirautela,53M
aliiiiiiiikarimi8,9.4M
fabriziorom,8.6M
sanchooo10,8.6M
joeyking,19M
nianaguerrero,14.2M
hshq,6.3M
lacasadepapel,12.8M
fcbayern,33.3M
choi_seung_hyun_tttop,14.3M
vousmevoyez,10.3M
pefabiodemelo,25.7M
rahulkl,12.3M
donya,15.2M
sav.labrant,7.1M
abdevilliers17,18.4M
arishfakhan138,29.3M
liamhemsworth,13.1M
iscoalarcon,24.9M
jimin_bighitentertainment,8.8M
lucasranngel,19.8M
dear.zia,3.7M
hakkiakdenizz,23.5M
dra.deolanebezerra,14.4M
jokowi,47.4M
nusr_et,46.9M
fortnite,25.9M
loud_victor,10.7M
cvillaloboss,20.1M
dylansprouse,9.2M
melissamelmaia,12.9M
sofiaalcastro,8.8M
litkillah,7.9M
21savage,13.5M
amitabhbachchan,30.7M
maya_hawke,7.3M
tatawerneck,53.6M
viihtube,23.5M
hm_son7,7.4M
davido,24.6M
leonardodicaprio,54.2M
bernardokath,17.3M
chloegmoretz,21.1M
wizkidayo,14.9M
melo,9M
jimena.jimenezr,5.8M
gessicakayane,20M
andreavaldirisos,8.6M
joaogomescantor,12.8M
quavohuncho,21.4M
travisbarker,7.6M
caviarmagnat,15.1M
suga_bighitentertainment,7.6M
pablogavi,4.7M
netflixbrasil,31.8M
