Constellation Energy,$42.79 B,$133.99 ,USA
CEG,,,
,,,
Naqi Water Company,$42.73 B,$21.37 ,S. Arabia
2282.SR,,,
,,,
Datadog,$42.55 B,$129.51 ,USA
DDOG,,,
,,,
Fomento Económico Mexicano,$42.52 B,$118.83 ,Mexico
FMX,,,
,,,
Williams Companies,$42.51 B,$34.94 ,USA
WMB,,,
,,,
Oneok,$42.50 B,$72.97 ,USA
OKE,,,
,,,
Nordea Bank,$42.35 B,$12.10 ,Finland
NDA-FI.HE,,,
,,,
Bank of New York Mellon,$42.24 B,$55.64 ,USA
BK,,,
,,,
Danone,$42.22 B,$65.72 ,France
BN.PA,,,
,,,
Banco Santander Brasil,$42.22 B,$5.66 ,Brazil
BSBR,,,
,,,
Keurig Dr Pepper,$42.21 B,$30.19 ,USA
KDP,,,
,,,
Bank Mandiri,$42.20 B,$0.45 ,Indonesia
BMRI.JK,,,
,,,
Ferguson,$42.10 B,$207.56 ,UK
FERG,,,
,,,
Allstate,$41.86 B,$159.13 ,USA
ALL,,,
,,,
Bayan Resources,$41.66 B,$1.25 ,Indonesia
BYAN.JK,,,
,,,
CITIC Securities,$41.60 B,$2.99 ,China
600030.SS,,,
,,,
First Abu Dhabi Bank,$41.50 B,$3.76 ,euUAE
FAB.AE,,,
,,,
Daikin,$41.45 B,$141.60 ,Japan
6367.T,,,
,,,
Tata Motors,$41.40 B,$11.32 ,India
TATAMOTORS.NS,,,
,,,
Kotak Mahindra Bank,$41.36 B,$20.81 ,India
KOTAKBANK.NS,,,
,,,
Oil & Natural Gas,$41.35 B,$3.29 ,India
ONGC.NS,,,
,,,
Fastenal,$41.30 B,$72.18 ,USA
FAST,,,
,,,
Las Vegas Sands,$41.26 B,$54.75 ,USA
LVS,,,
,,,
TC Energy,$41.25 B,$39.76 ,Canada
TRP,,,
,,,
Ametek,$41.12 B,$178.20 ,USA
AME,,,
,,,
Crédit Agricole,$41.09 B,$13.59 ,France
ACA.PA,,,
,,,
Hong Kong Exchanges & Clearing,$41.02 B,$32.36 ,Hong Kong
0388.HK,,,
,,,
Kaspi.kz Joint Stock Company,$41.01 B,$105.55 ,euKazakhstan
KKS.F,,,
,,,
Kimberly-Clark,$40.97 B,$121.64 ,USA
KMB,,,
,,,
Axis Bank,$40.87 B,$13.25 ,India
AXISBANK.BO,,,
,,,
Ameriprise Financial,$40.79 B,$407.12 ,USA
AMP,,,
,,,
L3Harris Technologies,$40.76 B,$214.45 ,USA
LHX,,,
,,,
Capgemini,$40.75 B,$244.56 ,France
CAP.PA,,,
,,,
Ambev,$40.73 B,$2.56 ,Brazil
ABEV,,,
,,,
GE HealthCare Technologies,$40.55 B,$89.07 ,USA
GEHC,,,
,,,
Ares Management,$40.52 B,$131.90 ,USA
ARES,,,
,,,
Kuwait Finance House,$40.36 B,"$2,605 ",euKuwait
KFH.KW,,,
,,,
STMicroelectronics,$40.34 B,$44.75 ,Switzerland
STM,,,
,,,
Sysco,$40.23 B,$80.82 ,USA
SYY,,,
,,,
Coinbase,$40.21 B,$165.98 ,USA
COIN,,,
,,,
Dominion Energy,$40.04 B,$47.86 ,USA
D,,,
,,,
Johnson Controls,$39.82 B,$58.44 ,Ireland
JCI,,,
,,,
The Trade Desk,$39.81 B,$81.44 ,USA
TTD,,,
,,,
Experian,$39.76 B,$43.28 ,Ireland
EXPGF,,,
,,,
Cognizant Technology Solutions,$39.73 B,$79.82 ,USA
CTSH,,,
,,,
MPLX,$39.71 B,$39.67 ,USA
MPLX,,,
,,,
Givaudan,$39.69 B,"$4,302 ",Switzerland
GIVN.SW,,,
,,,
Dow,$39.60 B,$56.39 ,USA
DOW,,,
,,,
Titan Company,$39.56 B,$44.57 ,India
TITAN.NS,,,
,,,
NTPC Limited,$39.53 B,$4.08 ,India
NTPC.NS,,,
,,,
The Hershey Company,$39.53 B,$193.83 ,USA
HSY,,,
,,,
CITIC Bank,$39.52 B,$0.92 ,China
601998.SS,,,
,,,
Gazprom,$39.46 B,$1.68 ,Russia
GAZP.ME,,,
,,,
Alcon,$39.37 B,$80.06 ,Switzerland
ALC,,,
,,,
Kühne + Nagel,$39.08 B,$326.72 ,Switzerland
KNIN.SW,,,
,,,
Lonza,$39.08 B,$526.11 ,Switzerland
LONN.SW,,,
,,,
Baidu,$38.93 B,$111.36 ,China
BIDU,,,
,,,
Grupo México,$38.92 B,$5.00 ,Mexico
GMBXF,,,
