Hess,$45.80 B,$149.11 ,USA
HES,,,
,,,
General Motors,$45.75 B,$39.63 ,USA
GM,,,
,,,
Realty Income,$45.58 B,$52.94 ,USA
O,,,
,,,
ING,$45.37 B,$13.74 ,Netherlands
ING,,,
,,,
Sempra Energy,$45.29 B,$71.97 ,USA
SRE,,,
,,,
Sun Pharmaceutical,$45.21 B,$18.85 ,India
SUNPHARMA.NS,,,
,,,
Foxconn (Hon Hai Precision Industry),$45.21 B,$3.26 ,Taiwan
2317.TW,,,
,,,
Constellation Brands,$45.19 B,$247.23 ,USA
STZ,,,
,,,
Adani Enterprises,$45.04 B,$39.51 ,India
ADANIENT.NS,,,
,,,
BASF,$45.02 B,$50.45 ,Germany
BAS.DE,,,
,,,
MSCI,$45.00 B,$568.97 ,USA
MSCI,,,
,,,
Holcim Group,$44.93 B,$78.67 ,Switzerland
HOLN.SW,,,
,,,
IQVIA,$44.87 B,$247.26 ,USA
IQV,,,
,,,
Alpha Dhabi,$44.87 B,$4.49 ,euUAE
ALPHADHABI.AE,,,
,,,
Hikvision,$44.85 B,$4.81 ,China
002415.SZ,,,
,,,
Paychex,$44.84 B,$124.64 ,USA
PAYX,,,
,,,
DexCom,$44.81 B,$116.26 ,USA
DXCM,,,
,,,
Microchip Technology,$44.76 B,$82.84 ,USA
MCHP,,,
,,,
OCBC Bank,$44.74 B,$9.95 ,Singapore
O39.SI,,,
,,,
Interactive Brokers,$44.48 B,$106.72 ,USA
IBKR,,,
,,,
Pacific Gas and Electric,$44.47 B,$17.03 ,USA
PCG,,,
,,,
United Rentals,$44.22 B,$658.23 ,USA
URI,,,
,,,
TE Connectivity,$44.19 B,$143.11 ,Switzerland
TEL,,,
,,,
Hoya,$44.08 B,$125.78 ,Japan
7741.T,,,
,,,
Manulife Financial,$43.88 B,$24.30 ,Canada
MFC,,,
,,,
Waste Connections,$43.84 B,$170.15 ,USA
WCN,,,
,,,
Digital Realty,$43.84 B,$137.84 ,USA
DLR,,,
,,,
Hyundai,$43.78 B,$57.69 ,S. Korea
HYMTF,,,
,,,
Humana,$43.78 B,$362.91 ,USA
HUM,,,
,,,
Maruti Suzuki India,$43.78 B,$139.25 ,India
MARUTI.NS,,,
,,,
Kraft Heinz,$43.73 B,$36.05 ,USA
KHC,,,
,,,
CIBC,$43.72 B,$46.95 ,Canada
CM,,,
,,,
Emirates Telecom (Etisalat Group),$43.71 B,$5.03 ,euUAE
EAND.AE,,,
,,,
Suncor Energy,$43.65 B,$33.91 ,Canada
SU,,,
,,,
Samsung Biologics,$43.53 B,$611.60 ,S. Korea
207940.KS,,,
,,,
Xiaomi,$43.51 B,$1.67 ,China
XIACF,,,
,,,
Charter Communications,$43.48 B,$299.42 ,USA
CHTR,,,
,,,
American Electric Power,$43.35 B,$82.45 ,USA
AEP,,,
,,,
Lennar,$43.18 B,$155.08 ,USA
LEN,,,
,,,
Pernod Ricard,$43.15 B,$171.00 ,France
RI.PA,,,
,,,
Centene,$42.90 B,$80.22 ,USA
CNC,,,
,,,
Novatek,$42.81 B,$14.44 ,Russia
NVTK.ME,,,
,,,
