Microsoft,$3.049 T,United States of America
MSFT

Apple,$2.818 T,United States of America
AAPL

Saudi Aramco,$2.065 T,Saudi Arabia
2222.SR

NVIDIA,$1.970 T,United States of America
NVDA

Amazon,$1.817 T,United States of America
AMZN

Alphabet (Google),$1.798 T,United States of America
GOOG

Meta Platforms (Facebook),$1.233 T,United States of America
META

Berkshire Hathaway,$905.29 B,United States of America
BRK-B

Eli Lilly,$731.18 B,United States of America
LLY

TSMC,$671.79 B,Taiwan
TSM

Tesla,$611.38 B,United States of America
TSLA

Broadcom,$606.88 B,United States of America
AVGO

Visa,$582.53 B,United States of America
V

Novo Nordisk,$550.96 B,Denmark
NVO

JPMorgan Chase,$529.95 B,United States of America
JPM

UnitedHealth,$487.65 B,United States of America
UNH

Walmart,$472.64 B,United States of America
WMT

LVMH,$459.73 B,France
MC.PA

Mastercard,$441.64 B,United States of America
MA

Exxon Mobil,$412.34 B,United States of America
XOM

Johnson & Johnson,$389.83 B,United States of America
JNJ

Procter & Gamble,$378.90 B,United States of America
PG

Home Depot,$370.19 B,United States of America
HD

ASML,$368.25 B,Netherlands
ASML

Samsung,$366.06 B,South Korea
005930.KS

Tencent,$351.51 B,China
TCEHY

Merck,$328.02 B,United States of America
MRK

Costco,$327.44 B,United States of America
COST

Toyota,$316.87 B,Japan
TM

AbbVie,$314.59 B,United States of America
ABBV

Oracle,$307.74 B,United States of America
ORCL

Kweichow Moutai,$299.28 B,China
600519.SS

Nestlé,$288.70 B,Switzerland
NESN.SW

Chevron,$286.27 B,United States of America
CVX

AMD,$285.21 B,United States of America
AMD

Salesforce,$283.43 B,United States of America
CRM

Bank of America,$267.04 B,United States of America
BAC

Coca-Cola,$263.92 B,United States of America
KO

Hermès,$260.88 B,France
RMS.PA

L'Oréal,$260.61 B,France
OR.PA

Netflix,$252.54 B,United States of America
NFLX

ICBC,$251.32 B,China
1398.HK

Adobe,$250.15 B,United States of America
ADBE

Reliance Industries,$243.99 B,India
RELIANCE.NS

International Holding Company,$238.59 B,United Arab Emirates
IHC.AE

Accenture,$236.57 B,Ireland
ACN

Pepsico,$233.10 B,United States of America
PEP

PetroChina,$221.00 B,China
601857.SS

Thermo Fisher Scientific,$218.18 B,United States of America
TMO

Linde,$217.01 B,United Kingdom
LIN

SAP,$215.48 B,Germany
SAP

McDonald,$215.01 B,United States of America
MCD

Novartis,$212.77 B,Switzerland
NVS

Roche,$212.17 B,Switzerland
ROG.SW

Abbott Laboratories,$207.28 B,United States of America
ABT

Shell,$206.73 B,United Kingdom
SHEL

AstraZeneca,$204.09 B,United Kingdom
AZN

Agricultural Bank of China,$202.02 B,China
601288.SS

Cisco,$197.84 B,United States of America
CSCO

Walt Disney,$197.62 B,United States of America
DIS

T-Mobile US,$195.05 B,United States of America
TMUS

Wells Fargo,$192.68 B,United States of America
WFC

Alibaba,$191.00 B,China
BABA

China Mobile,$190.78 B,China
0941.HK

Danaher,$187.76 B,United States of America
DHR

Intuit,$184.70 B,United States of America
INTU

Intel,$181.76 B,United States of America
INTC

Tata Consultancy Services,$176.98 B,India
TCS.NS

QUALCOMM,$172.87 B,United States of America
QCOM

Verizon,$170.94 B,United States of America
VZ

Pinduoduo,$169.64 B,China
PDD

IBM,$169.58 B,United States of America
IBM

Bank of China,$168.52 B,China
601988.SS

General Electric,$166.87 B,United States of America
GE

Comcast,$166.42 B,United States of America
CMCSA

Applied Materials,$164.04 B,United States of America
AMAT

China Construction Bank,$162.57 B,China
601939.SS

Uber,$162.38 B,United States of America
UBER

Caterpillar,$161.73 B,United States of America
CAT

Nike,$160.04 B,United States of America
NKE

ServiceNow,$158.04 B,United States of America
NOW

Pfizer,$156.74 B,United States of America
PFE

Union Pacific Corporation,$156.65 B,United States of America
UNP

American Express,$155.31 B,United States of America
AXP

Dior,$155.17 B,France
CDI.PA

Amgen,$154.97 B,United States of America
AMGN

TotalEnergies,$150.62 B,France
TTE

Siemens,$149.91 B,Germany
SIE.DE

Texas Instruments,$148.84 B,United States of America
TXN

BHP Group,$147.55 B,Australia
BHP

HSBC,$145.72 B,United Kingdom
HSBC

Philip Morris,$142.14 B,United States of America
PM

Morgan Stanley,$142.05 B,United States of America
MS

Inditex,$138.78 B,Spain
IDEXY

Royal Bank Of Canada,$138.76 B,Canada
RY

S&P Global,$137.66 B,United States of America
SPGI

Intuitive Surgical,$137.32 B,United States of America
ISRG

Arm Holdings,$137.08 B,United Kingdom
ARM

HDFC Bank,$136.72 B,India
HDB

Stryker Corporation,$135.00 B,United States of America
SYK

Prosus,$134.01 B,Netherlands
PRX.AS

Lowe's Companies,$133.74 B,United States of America
LOW

