ICICI Bank,$89.93 B,$25.63 ,India
IBN,,,
,,,
Mitsubishi Corporation,$89.23 B,$21.60 ,Japan
8058.T,,,
,,,
American Tower,$88.53 B,$189.93 ,USA
AMT,,,
,,,
Fast Retailing,$88.21 B,$287.62 ,Japan
9983.T,,,
,,,
Synopsys,$87.81 B,$575.65 ,USA
SNPS,,,
,,,
China Yangtze Power,$87.36 B,$3.57 ,China
600900.SS,,,
,,,
Safran,$86.23 B,$208.96 ,France
SAF.PA,,,
,,,
SoftBank,$85.74 B,$58.50 ,Japan
9984.T,,,
,,,
GlaxoSmithKline,$85.66 B,$42.22 ,UK
GSK,,,
,,,
KKR & Co.,$85.15 B,$95.80 ,USA
KKR,,,
,,,
Diageo,$85.04 B,$152.29 ,UK
DEO,,,
,,,
Canadian National Railway,$84.57 B,$131.61 ,Canada
CNI,,,
,,,
ABB,$84.32 B,$45.84 ,Switzerland
ABBN.SW,,,
,,,
Infosys,$83.75 B,$20.11 ,India
INFY,,,
,,,
Arista Networks,$83.67 B,$267.66 ,USA
ANET,,,
,,,
Shin-Etsu Chemical,$83.67 B,$41.94 ,Japan
4063.T,,,
,,,
RELX,$83.67 B,$44.44 ,UK
RELX,,,
,,,
Waste Management,$83.55 B,$208.05 ,USA
WM,,,
,,,
SK Hynix,$83.51 B,$121.36 ,S. Korea
000660.KS,,,
,,,
Equinix,$83.48 B,$882.29 ,USA
EQIX,,,
,,,
HCA Healthcare,$83.41 B,$315.36 ,USA
HCA,,,
,,,
Mercedes-Benz,$83.01 B,$77.60 ,Germany
MBG.DE,,,
,,,
Cadence Design Systems,$82.63 B,$303.53 ,USA
CDNS,,,
,,,
MercadoLibre,$82.60 B,"$1,629 ",Argentina
MELI,,,
